SampleID;Tissue;Factor;Condition;Treatment;Replicate;bamReads;Peaks;PeakCaller;PeakFormat;
MPIPSYKL_003785;;ATAC;high;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_14A_dex_S35.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_14A_dex_S35_peaks.narrowPeak.filt.gz;macs;narrow;14A
MPIPSYKL_003155;;ATAC;low;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_15D_veh_S31.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_15D_veh_S31_peaks.narrowPeak.filt.gz;macs;narrow;15D
MPIPSYKL_001886;;ATAC;low;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_13A_veh_S61.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_13A_veh_S61_peaks.narrowPeak.filt.gz;macs;narrow;13A
MPIPSYKL_003787;;ATAC;high;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_15B_veh_S9.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_15B_veh_S9_peaks.narrowPeak.filt.gz;macs;narrow;15B
MPIPSYKL_004246;;ATAC;high;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_12D_veh_S68.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_12D_veh_S68_peaks.narrowPeak.filt.gz;macs;narrow;12D
MPIPSYKL_002852;;ATAC;low;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_17C_veh_S86.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_17C_veh_S86_peaks.narrowPeak.filt.gz;macs;narrow;17C
MPIPSYKL_002613;;ATAC;high;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_12B_veh_S91.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_12B_veh_S91_peaks.narrowPeak.filt.gz;macs;narrow;12B
MPIPSYKL_001389;;ATAC;low;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_15C_dex_S53.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_15C_dex_S53_peaks.narrowPeak.filt.gz;macs;narrow;15C
MPIPSYKL_003155;;ATAC;low;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_15D_dex_S13.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_15D_dex_S13_peaks.narrowPeak.filt.gz;macs;narrow;15D
MPIPSYKL_000708;;ATAC;low;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_7A_dex_S67.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_7A_dex_S67_peaks.narrowPeak.filt.gz;macs;narrow;7A
MPIPSYKL_003911;;ATAC;low;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_4D_veh_S30.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_4D_veh_S30_peaks.narrowPeak.filt.gz;macs;narrow;4D
MPIPSYKL_001886;;ATAC;low;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_13A_dex_S10.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_13A_dex_S10_peaks.narrowPeak.filt.gz;macs;narrow;13A
MPIPSYKL_003013;;ATAC;high;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_9A_dex_S52.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_9A_dex_S52_peaks.narrowPeak.filt.gz;macs;narrow;9A
MPIPSYKL_002604;;ATAC;low;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_2D_veh_S48.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_2D_veh_S48_peaks.narrowPeak.filt.gz;macs;narrow;2D
MPIPSYKL_002533;;ATAC;high;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_11B_veh_S55.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_11B_veh_S55_peaks.narrowPeak.filt.gz;macs;narrow;11B
MPIPSYKL_001547;;ATAC;high;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_18A_veh_S20.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_18A_veh_S20_peaks.narrowPeak.filt.gz;macs;narrow;18A
MPIPSYKL_000988;;ATAC;high;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_10C_dex_S17.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_10C_dex_S17_peaks.narrowPeak.filt.gz;macs;narrow;10C
MPIPSYKL_004100;;ATAC;low;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_11A_veh_S85.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_11A_veh_S85_peaks.narrowPeak.filt.gz;macs;narrow;11A
MPIPSYKL_003472;;ATAC;high;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_4B_dex_S42.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_4B_dex_S42_peaks.narrowPeak.filt.gz;macs;narrow;4B
MPIPSYKL_001386;;ATAC;high;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_15A_veh_S7.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_15A_veh_S7_peaks.narrowPeak.filt.gz;macs;narrow;15A
MPIPSYKL_003911;;ATAC;low;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_4D_dex_S40.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_4D_dex_S40_peaks.narrowPeak.filt.gz;macs;narrow;4D
MPIPSYKL_003162;;ATAC;low;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_3B_veh_S8.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_3B_veh_S8_peaks.narrowPeak.filt.gz;macs;narrow;3B
MPIPSYKL_001701;;ATAC;high;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_14B_dex_S43.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_14B_dex_S43_peaks.narrowPeak.filt.gz;macs;narrow;14B
